Depth,URL,Page ID,Page Type,Parent Page,Primary Keyword,Priority,Children Count,Suggested Nav Group
0,https://paphosadvisor.com/,P001,Home,,move to Paphos,P0 launch,21,Core
1,https://paphosadvisor.com/about,P002,About,https://paphosadvisor.com/,Paphos Advisor,P0 launch,2,Core
1,https://paphosadvisor.com/budget-movers,P018,Pillar/Hub,https://paphosadvisor.com/,moving to Cyprus on a budget,P2 later,0,Other
1,https://paphosadvisor.com/contact,P005,Contact,https://paphosadvisor.com/,contact Paphos Advisor,P0 launch,0,Core
1,https://paphosadvisor.com/digital-nomads,P016,Pillar/Hub,https://paphosadvisor.com/,Cyprus digital nomads,P2 later,0,Pathways
1,https://paphosadvisor.com/entrepreneurs,P012,Pillar/Hub,https://paphosadvisor.com/,entrepreneurs moving to Cyprus,P0 launch,3,Pathways
1,https://paphosadvisor.com/experts,P077,Expert/Person,https://paphosadvisor.com/,Cyprus relocation experts,P0 launch,12,Experts
1,https://paphosadvisor.com/families,P014,Pillar/Hub,https://paphosadvisor.com/,families moving to Paphos,P0 launch,3,Pathways
1,https://paphosadvisor.com/faq,P121,FAQ,https://paphosadvisor.com/,Cyprus relocation FAQ,P0 launch,5,Resources
1,https://paphosadvisor.com/glossary,P112,Glossary,https://paphosadvisor.com/resources,Cyprus relocation glossary,P1 fast-follow,8,Resources
1,https://paphosadvisor.com/legal,P010,Legal,https://paphosadvisor.com/,Paphos Advisor legal information,P1 fast-follow,3,Core
1,https://paphosadvisor.com/locations,P090,Location,https://paphosadvisor.com/,where to live in Paphos,P0 launch,15,Locations
1,https://paphosadvisor.com/permanent-residency,P013,Pillar/Hub,https://paphosadvisor.com/,Cyprus permanent residency,P0 launch,2,Pathways
1,https://paphosadvisor.com/property,P020,Pillar/Hub,https://paphosadvisor.com/,Paphos property,P0 launch,3,Other
1,https://paphosadvisor.com/property-investors,P017,Pillar/Hub,https://paphosadvisor.com/,Paphos property investors,P2 later,0,Other
