Page ID,Page Type,Content Tag,ICP Segment(s) Served,Funnel Stage,URL Slug,Title Tag,Meta Description,H1,Primary Keyword,Secondary Keywords (2–4),Search Intent,Schema.org Type(s),Key Entities to Cover,LLM Retrieval Angle,Parent Page,Internal Link Targets (3–5 sibling/child URLs),Priority,Notes
P001,Home,Evergreen,ICP-002 EU National Remote Worker; ICP-004 Entrepreneur / Company Formation; ICP-005 HNI Permanent Residency; ICP-006 Family Relocating with Children; ICP-001 UK National Retiree,MOFU,https://paphosadvisor.com/,Moving to Cyprus from the UK | Paphos Advisor,"Moving to Cyprus from the UK? Get a clear, honest plan for tax, residency and company formation — with vetted local experts. Start your plan.","Moving to Cyprus from the UK, with a Clear Route",moving to Cyprus from UK,move to Cyprus; move to Paphos; Cyprus relocation; Paphos advisor; moving to Cyprus,Commercial,WebSite + Organization + WebPage + BreadcrumbList,Paphos; Cyprus; Paphos Advisor; CRMD; Tax Department; GESY; Department of Registrar of Companies,Who can help me choose the right Cyprus relocation route?,,https://paphosadvisor.com/remote-workers; https://paphosadvisor.com/entrepreneurs; https://paphosadvisor.com/permanent-residency; https://paphosadvisor.com/families; https://paphosadvisor.com/retirees,P0 launch,"Homepage should use pathway selector first, then cross-cutting proof modules. Multilingual note: future Russian and Greek summaries may help partner and local trust."
P002,About,Evergreen,ICP-002 EU National Remote Worker; ICP-004 Entrepreneur / Company Formation; ICP-005 HNI Permanent Residency; ICP-006 Family Relocating with Children; ICP-001 UK National Retiree,MOFU,https://paphosadvisor.com/about,About Paphos Advisor | Paphos Advisor,"Meet Paphos Advisor: a founder-led guide to moving from the UK to Cyprus, backed by a named network of tax, residency and legal specialists.",About Paphos Advisor,Paphos Advisor,Cyprus relocation; Paphos advisor; moving to Cyprus,Navigational,AboutPage + Organization + BreadcrumbList,Paphos Advisor; Cyprus relocation; referral partners; local expertise; editorial standards,Who is Paphos Advisor and how does the referral model work?,https://paphosadvisor.com/,https://paphosadvisor.com/about/editorial-policy; https://paphosadvisor.com/about/referral-disclosure; https://paphosadvisor.com/experts; https://paphosadvisor.com/contact,P0 launch,Explain partner-enabled model without sounding like a lead-selling directory.
P003,About,Evergreen,ICP-002 EU National Remote Worker; ICP-004 Entrepreneur / Company Formation; ICP-005 HNI Permanent Residency; ICP-006 Family Relocating with Children; ICP-001 UK National Retiree,MOFU,https://paphosadvisor.com/about/editorial-policy,Editorial Policy | Paphos Advisor,"Our Editorial Policy — how Paphos Advisor guides UK movers to Cyprus with a named network of tax, residency and legal specialists.",Our Editorial Policy,Paphos Advisor editorial policy,Cyprus relocation; Paphos advisor; moving to Cyprus,Navigational,WebPage + Organization + BreadcrumbList,Official sources; field knowledge; CRMD; Tax Department; review cadence; expert review,How does Paphos Advisor verify Cyprus relocation information?,https://paphosadvisor.com/about,https://paphosadvisor.com/resources; https://paphosadvisor.com/faq; https://paphosadvisor.com/glossary; https://paphosadvisor.com/about/referral-disclosure,P1 fast-follow,Strong GEO trust surface. Add multilingual note only after English canonical content is stable.
P004,About,Evergreen,ICP-002 EU National Remote Worker; ICP-004 Entrepreneur / Company Formation; ICP-005 HNI Permanent Residency; ICP-006 Family Relocating with Children; ICP-001 UK National Retiree,BOFU,https://paphosadvisor.com/about/referral-disclosure,Referral Disclosure | Paphos Advisor,"How Paphos Advisor works with partners, and how referral fees are handled — set out plainly so you always know where our guidance comes from.",Referral Disclosure,Cyprus referral disclosure,Cyprus relocation; Paphos advisor; moving to Cyprus,Navigational,WebPage + Organization + BreadcrumbList,Referral fees; partner introductions; independent professionals; regulated advice; affiliate links,Does Paphos Advisor earn referral fees from partners?,https://paphosadvisor.com/about,https://paphosadvisor.com/services; https://paphosadvisor.com/experts; https://paphosadvisor.com/contact; https://paphosadvisor.com/legal/terms,P0 launch,"Must clearly separate information, introductions, and professional advice."
P005,Contact,Evergreen,ICP-002 EU National Remote Worker; ICP-004 Entrepreneur / Company Formation; ICP-005 HNI Permanent Residency; ICP-006 Family Relocating with Children; ICP-001 UK National Retiree,BOFU,https://paphosadvisor.com/contact,Contact Paphos Advisor | Paphos Advisor,"Questions about moving to Cyprus? Contact Paphos Advisor and get a clear, no-pressure next step toward your relocation plan.",Contact Paphos Advisor,contact Paphos Advisor,Cyprus relocation; Paphos advisor; moving to Cyprus,Transactional,ContactPage + Organization + BreadcrumbList,Paphos Advisor; consultation request; Paphos; Cyprus relocation; partner referral,How do I contact Paphos Advisor about moving to Cyprus?,https://paphosadvisor.com/,https://paphosadvisor.com/start; https://paphosadvisor.com/services; https://paphosadvisor.com/experts; https://paphosadvisor.com/about/referral-disclosure,P0 launch,"Use a guided intake CTA, not only a static form."
P006,Lead Magnet,Evergreen,ICP-002 EU National Remote Worker; ICP-004 Entrepreneur / Company Formation; ICP-005 HNI Permanent Residency; ICP-006 Family Relocating with Children; ICP-001 UK National Retiree,BOFU,https://paphosadvisor.com/start,Start Your Cyprus Relocation Plan | Paphos Advisor,"Answer a few questions and see the tax, residency and company-formation steps that fit your move to Cyprus. Start your plan in minutes.",Start Your Cyprus Relocation Plan,Cyprus relocation plan,Cyprus relocation; Paphos advisor; moving to Cyprus,Transactional,WebPage + Service + FAQPage + BreadcrumbList,Nationality; household type; property intent; tax residency; company formation; permanent residency,What is the right first step for my Cyprus relocation?,https://paphosadvisor.com/,https://paphosadvisor.com/remote-workers; https://paphosadvisor.com/entrepreneurs; https://paphosadvisor.com/permanent-residency; https://paphosadvisor.com/families; https://paphosadvisor.com/retirees,P0 launch,Guided route finder. Lead magnet section is separate from core content but should be linked from homepage.
P007,Legal,Evergreen,All users,BOFU,https://paphosadvisor.com/legal/privacy-policy,Privacy Policy | Paphos Advisor,The privacy policy for Paphos Advisor — how we handle your information across our Cyprus relocation guidance and services.,Privacy Policy,Paphos Advisor privacy policy,Cyprus relocation; Paphos advisor; moving to Cyprus,Navigational,WebPage + BreadcrumbList,GDPR; personal data; contact forms; email capture; analytics; cookies,What personal data does Paphos Advisor collect?,https://paphosadvisor.com/legal,https://paphosadvisor.com/legal/terms; https://paphosadvisor.com/legal/cookie-policy; https://paphosadvisor.com/contact,P0 launch,"Legal review required. | noindex,follow — utility page, not an SEO target"
P008,Legal,Evergreen,All users,BOFU,https://paphosadvisor.com/legal/terms,Terms of Use | Paphos Advisor,"The terms of use for Paphos Advisor — the rules for using our Cyprus relocation guidance and services, in plain language.",Terms of Use,Paphos Advisor terms of use,Cyprus relocation; Paphos advisor; moving to Cyprus,Navigational,WebPage + BreadcrumbList,Website terms; referral disclaimers; professional advice limits; Cyprus law,What are the terms for using Paphos Advisor?,https://paphosadvisor.com/legal,https://paphosadvisor.com/legal/privacy-policy; https://paphosadvisor.com/about/referral-disclosure; https://paphosadvisor.com/contact,P0 launch,"Legal review required. | noindex,follow — utility page, not an SEO target"
P009,Legal,Evergreen,All users,BOFU,https://paphosadvisor.com/legal/cookie-policy,Cookie Policy | Paphos Advisor,The cookie policy for Paphos Advisor — how and why we use cookies across our Cyprus relocation website and services.,Cookie Policy,Paphos Advisor cookie policy,Cyprus relocation; Paphos advisor; moving to Cyprus,Navigational,WebPage + BreadcrumbList,Cookies; analytics; consent; tracking; GDPR; marketing pixels,How does Paphos Advisor use cookies?,https://paphosadvisor.com/legal,https://paphosadvisor.com/legal/privacy-policy; https://paphosadvisor.com/legal/terms; https://paphosadvisor.com/contact,P0 launch,"Legal review required. | noindex,follow — utility page, not an SEO target"
P010,Legal,Evergreen,All users,BOFU,https://paphosadvisor.com/legal,Legal Information | Paphos Advisor,The legal information for Paphos Advisor — how we handle your information across our Cyprus relocation guidance and services.,Legal Information,Paphos Advisor legal information,Cyprus relocation; Paphos advisor; moving to Cyprus,Navigational,CollectionPage + BreadcrumbList,Privacy Policy; Terms of Use; Cookie Policy; Referral Disclosure,Where are Paphos Advisor's legal and disclosure pages?,https://paphosadvisor.com/,https://paphosadvisor.com/legal/privacy-policy; https://paphosadvisor.com/legal/terms; https://paphosadvisor.com/legal/cookie-policy; https://paphosadvisor.com/about/referral-disclosure,P1 fast-follow,Useful footer hub.
P011,Pillar/Hub,Evergreen,ICP-002 EU National Remote Worker,MOFU,https://paphosadvisor.com/remote-workers,Remote Workers Moving to Paphos | Paphos Advisor,"Remote Workers Moving to Paphos: the routes, requirements and real-world steps for moving to Cyprus, with vetted specialists when you need them.",Remote Workers Moving to Paphos,remote workers Paphos,move to Cyprus; Paphos relocation; Cyprus residency; Cyprus tax,Commercial,CollectionPage + Service + FAQPage + BreadcrumbList,EU citizens; Yellow Slip; MEU1; 60-day rule; non-dom; GESY; rental contracts,Can an EU remote worker move to Paphos and use Cyprus tax residency?,https://paphosadvisor.com/,https://paphosadvisor.com/services; https://paphosadvisor.com/experts; https://paphosadvisor.com/faq; https://paphosadvisor.com/start,P0 launch,Pathway-first navigation page. Multilingual note: consider translated summaries only after English version proves demand.
P012,Pillar/Hub,Evergreen,ICP-004 Entrepreneur / Company Formation,MOFU,https://paphosadvisor.com/entrepreneurs,Entrepreneurs Moving to Cyprus | Paphos Advisor,"Everything on entrepreneurs moving to Cyprus for your move — clear guidance, honest trade-offs and the right expert at the right time.",Entrepreneurs Moving to Cyprus,entrepreneurs moving to Cyprus,move to Cyprus; Paphos relocation; Cyprus residency; Cyprus tax; moving to Cyprus from UK,Commercial,CollectionPage + Service + FAQPage + BreadcrumbList,Cyprus limited company; corporate tax; VAT; social insurance; substance; banking,How should an entrepreneur structure a move to Cyprus?,https://paphosadvisor.com/,https://paphosadvisor.com/services; https://paphosadvisor.com/experts; https://paphosadvisor.com/faq; https://paphosadvisor.com/start,P0 launch,Pathway-first navigation page. Multilingual note: consider translated summaries only after English version proves demand.
P013,Pillar/Hub,Evergreen,ICP-005 HNI Permanent Residency,MOFU,https://paphosadvisor.com/permanent-residency,Cyprus Permanent Residency Path | Paphos Advisor,"A practical guide to Cyprus permanent residency path for your move to Cyprus — routes, costs, timelines and where expert help makes the difference.",Cyprus Permanent Residency Path,Cyprus permanent residency,move to Cyprus; Paphos relocation; Cyprus residency; Cyprus tax,Commercial,CollectionPage + Service + FAQPage + BreadcrumbList,Permanent residency; Regulation 6(2); property investment; CRMD; due diligence; legal review,What is the safest route to Cyprus permanent residency by investment?,https://paphosadvisor.com/,https://paphosadvisor.com/services; https://paphosadvisor.com/experts; https://paphosadvisor.com/faq; https://paphosadvisor.com/start,P0 launch,Pathway-first navigation page. Multilingual note: consider translated summaries only after English version proves demand.
